item_id,timestamp
255,0
286,17
298,44
185,71
173,133
108,172
772,172
288,195
928,227
117,278
200,371
405,410
1074,554
176,676
357,775
210,775
687,3458
696,3628
284,3628
295,3660
473,3686
544,3686
290,3720
147,3751
121,3855
717,3888
220,4972
1040,4972
510,5039
50,5040
731,5040
417,5040
623,5068
385,5068
66,5106
97,5106
553,5140
969,5140
79,5140
96,5140
181,5191
173,5191
172,5191
42,5225
402,5225
498,5225
234,5225
421,5225
739,5225
423,5250
99,5285
174,5285
692,5285
812,5286
1220,5286
392,5286
61,5321
82,5321
215,5321
202,5321
432,5346
195,5375
462,5375
69,5375
746,5375
776,5445
88,5445
1055,5445
177,5445
4,5469
785,5496
238,5496
1469,5496
365,5524
419,5524
660,5524
585,5524
1503,5525
560,5551
72,5551
228,5551
71,5551
73,5583
622,5583
210,5583
393,5610
662,5610
141,5610
584,5632
732,5660
949,5660
378,5660
716,5660
191,5686
196,5686
83,5686
59,5710
136,5733
230,5757
655,5757
404,5757
1053,5780
568,5781
941,5781
729,5781
60,5810
506,5810
495,5810
946,5811
486,5811
747,5842
431,5842
95,5842
418,5843
38,5843
111,42698
1014,42698
845,42698
742,42809
815,42840
824,42840
405,42840
300,49576
286,49576
322,49739
323,49739
275,49865
866,49865
458,49865
100,49865
50,50008
455,50009
741,50105
235,50246
813,50246
718,50246
277,50283
298,50328
237,50328
1086,50426
412,50426
282,50426
628,50475
7,50475
276,50552
1016,50552
93,50552
125,50552
222,50601
121,50601
829,50696
982,50696
823,50696
742,50696
181,50696
472,50696
762,50755
597,50755
287,50755
117,50825
924,50825
826,50870
475,50870
109,50870
274,50870
257,50904
473,50937
1202,50970
250,51021
405,51105
827,51105
105,51139
255,51204
546,51204
930,51235
717,51235
1034,51270
831,51270
790,52550
11,52730
12,52781
496,52781
56,52818
382,52818
180,52818
170,52873
134,52913
474,52913
770,52948
64,52991
175,53025
47,53025
81,53025
55,53055
461,53123
169,53180
182,53215
318,53238
204,53264
91,53288
85,53355
70,53355
4,53355
941,53385
580,53386
209,53444
189,53471
693,53497
96,53530
201,53530
663,53530
214,53564
357,53564
53,53564
239,53564
1073,53589
428,53589
42,53635
66,53635
202,53656
231,53714
68,53769
540,53769
22,53769
233,53769
161,53769
195,53805
79,53805
92,53805
684,53858
2,53858
566,53859
226,53859
568,53859
385,53859
720,53902
38,53902
578,53902
62,53902
761,53903
33,53986
550,54012
802,54046
373,54046
391,54046
252,56122
825,56150
292,56154
319,56154
245,56199
988,56235
977,56259
1259,56286
100,56294
19,56294
254,56327
1244,56327
515,56340
595,56357
986,56358
127,56366
181,56366
126,56463
14,56463
11,56488
1261,56488
492,56488
1153,56488
56,56488
221,56497
96,56547
213,56547
194,56547
182,56593
174,56593
168,56641
89,56642
82,56642
511,56697
210,56697
64,56750
486,56837
1260,56837
655,56918
22,56988
188,57032
382,57032
31,57069
1101,57069
87,57119
70,57119
193,57162
12,57205
568,57205
124,57284
385,57284
199,57284
154,57312
28,57312
86,57358
697,57358
23,57390
658,57417
449,57480
716,57480
172,57481
132,57518
50,58308
15,58342
222,58342
744,58588
276,58760
237,59385
323,59556
713,59627
181,59627
250,59628
7,59675
14,59730
50,59730
919,59730
124,59730
19,59756
116,59756
109,59756
13,59787
408,59828
100,59847
283,59865
1,59905
405,59928
224,59928
546,59958
151,59958
235,60002
472,60262
597,60314
202,60455
961,60455
518,60484
56,60523
357,60523
433,60523
170,60638
522,60737
603,60738
8,60764
275,60764
59,60816
414,60816
705,60816
175,60816
238,60816
96,60841
154,60842
89,60872
228,60872
55,60914
504,60914
234,60914
174,60942
213,60965
214,60991
479,61018
183,61018
132,61046
185,61046
171,61099
32,61099
230,61099
1006,61099
642,61133
176,61133
463,61133
512,61133
209,61133
710,61179
172,61179
652,61216
83,61216
144,61216
527,61216
102,61247
367,61247
79,61247
189,61275
98,61306
194,61306
418,61327
143,61356
629,61388
134,61388
99,61388
387,61388
204,61412
133,61510
95,61510
145,61534
258,61627
300,61628
328,61656
294,61656
288,61682
323,61682
322,61682
358,61709
324,61709
678,61709
325,61709
153,61728
260,61729
4,61750
385,61752
919,61757
508,61757
298,61757
408,61757
423,61778
181,61778
211,61802
70,61803
7,61807
273,61807
628,61828
127,61858
151,61858
117,61858
546,61858
1,61858
276,61895
284,61895
547,61895
100,61895
591,61922
249,61922
696,61922
123,61947
257,61947
471,61947
357,61954
520,61954
147,61976
246,61976
109,61976
293,61976
410,61976
25,61976
483,61985
240,62003
1016,62003
455,62003
235,62024
203,62036
475,62046
237,62046
742,62046
511,62060
421,62060
1010,62074
685,62074
250,62074
28,62083
845,62097
411,62097
823,62097
406,62121
473,62121
225,62144
458,62144
290,62144
125,62166
1129,62166
62,62170
840,62187
121,62187
747,62193
148,62214
108,62214
3,62214
150,62214
196,62216
974,62235
162,62240
118,62254
528,62264
195,62283
252,62296
825,62296
73,62306
161,62307
405,62334
1028,62334
155,62349
993,62355
281,62355
449,62373
977,62380
1245,62381
472,62399
215,62406
526,62406
217,62434
597,62440
1013,62440
122,62440
229,62452
120,62462
930,62462
21,62485
595,62485
216,62494
419,62494
763,62504
456,62527
451,62546
856,62578
1079,62590
516,62620
655,62620
381,62640
1006,62643
192,62643
214,62643
180,62643
90,62660
175,62666
761,62677
582,62697
47,62697
12,62697
27,62697
88,62700
469,62731
64,62731
160,62731
28,62731
135,62731
82,62739
23,62757
806,62757
65,62757
318,62786
22,62786
523,62786
11,62787
357,62816
461,62816
558,62816
57,62816
387,62816
197,62839
97,62839
182,62839
173,62877
1005,62937
227,63028
380,63064
404,63150
739,63151
662,63335
219,63477
549,63580
1004,63608
780,63678
679,63733
227,63856
143,64045
748,64094
1221,64247
386,64291
1047,64295
1009,64374
924,64399
1199,64445
427,64569
530,64569
71,64589
38,64622
451,64764
795,64828
1228,64994
105,64994
1207,65729
831,65919
1046,65919
157,66063
223,66063
1141,66063
531,66091
554,66103
772,66116
70,66116
939,66145
470,66145
1194,66165
693,66193
732,66193
647,66193
423,66216
1337,66220
193,66242
429,66262
39,66285
69,66286
392,66286
1188,66288
54,66315
51,66315
1220,66338
425,66391
86,66391
81,66391
356,66391
1267,66392
179,66392
187,66392
526,66413
46,66435
215,66435
58,66459
569,66459
291,66459
771,66462
658,66484
715,66484
239,66484
549,66484
735,66504
382,66526
317,66547
655,66587
697,66606
365,66629
375,66629
380,66673
43,66673
1482,66673
402,66697
1213,66697
1428,66710
583,66734
720,66754
803,66777
1232,66778
1426,66796
76,66796
1135,66817
8,66913
4,66913
168,66913
789,66913
56,66913
42,66913
153,66957
204,66957
209,66957
367,66957
721,66961
786,66984
959,66985
154,67037
929,67076
734,67076
564,67095
73,67095
854,67096
746,67096
1118,67120
592,67140
428,67160
40,67161
721,67161
85,67161
202,67161
17,67184
1140,67184
796,67222
158,67222
433,67250
274,67250
692,67250
88,67250
72,67250
364,67266
545,67266
173,67283
66,67283
67,67283
33,67308
709,67308
186,67308
411,67321
1218,67330
232,67384
393,67384
388,67384
401,67384
210,67384
396,67408
571,67408
369,67432
780,67433
783,67433
63,67458
384,67479
294,67484
451,67506
139,67522
80,67527
41,67567
728,67567
100,67575
1084,67575
409,67600
407,67600
575,67600
55,67656
24,67656
174,67656
89,67656
275,67659
14,67659
176,67691
144,67691
82,67692
241,67692
183,67692
476,67693
172,67725
96,67725
233,67726
128,67726
79,67726
2,67726
684,67726
117,67732
265,67773
229,67773
636,67773
68,67773
161,67773
195,67773
763,67781
237,67781
540,67809
665,67810
541,67810
679,67810
226,67810
449,67810
284,67811
181,67811
184,67837
385,67837
188,67837
576,67837
686,67837
993,67860
126,67860
550,67864
62,67864
38,67864
845,67881
397,67891
566,67891
399,67924
802,67924
1416,67924
450,67924
831,67924
743,67924
148,67940
164,67953
185,67953
218,67953
559,67953
200,67953
447,67953
98,67953
443,67982
145,67982
5,67982
219,67982
448,67982
672,67982
217,67982
459,67988
436,68001
379,68035
800,68035
561,68035
121,68042
471,68042
669,68057
551,68057
274,68068
816,68083
773,68084
567,68084
1,68103
473,68103
15,68125
969,68129
432,68129
463,68129
95,68129
125,68150
418,68160
141,68160
755,68160
143,68160
71,68160
404,68160
1197,68179
151,68179
99,68197
627,68197
417,68197
419,68197
588,68197
420,68235
142,68235
624,68259
951,68259
843,68279
597,68312
405,68312
1060,68312
1031,68325
1091,68325
1035,68325
501,68325
111,68339
415,68352
820,68352
426,68382
768,68408
742,68420
106,68486
794,68488
281,68508
118,68508
318,68658
22,68708
28,68759
389,68759
483,68807
357,68807
180,68807
79,68807
509,68864
234,68864
495,68864
64,68939
705,68939
427,68939
174,69063
435,69063
560,69063
213,69096
98,69137
56,69137
97,69138
504,69138
707,69138
1240,69142
95,69188
